Field	PhpType	Populated	Seen	Example	Residential	Commercial Lease	Income	Commercial Sale	Business Opportunity	Vacant Land	Residential Lease
@odata.id	string	1202	1202	https://api.bridgedataoutput.com/api/v2/OData/stellar/Property('e8ea2e5193b25dbab98d77f1e1	3/18	0/3	0/1	500/501	198/199	0/1	501/501
AccessibilityFeatures	array	59	1202	["Accessible Approach with Ramp","Accessible Common Area","Accessible Doors","Accessible F	0/18	0/3	0/1	43/501	12/199	0/1	4/501
AdditionalParcelsDescription	string	83	1202	253017000000021440	0/18	0/3	0/1	77/501	6/199	0/1	0/501
AdditionalParcelsYN	boolean	557	1202	false	3/18	0/3	0/1	499/501	54/199	0/1	1/501
Appliances	array	600	1202	["Dryer","Microwave","Range","Refrigerator","Washer"]	3/18	0/3	0/1	67/501	33/199	0/1	497/501
ApprovalStatus	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
ArchitecturalStyle	array	1	1202	["Contemporary"]	1/18	0/3	0/1	0/501	0/199	0/1	0/501
AssociationAmenities	array	113	1202	["Cable TV","Elevator(s)","Golf Course","Shuffleboard Court","Tennis Court(s)"]	1/18	0/3	0/1	0/501	0/199	0/1	112/501
AssociationFee	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
AssociationFee2	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
AssociationFee2Frequency	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
AssociationFeeFrequency	string	1	1202	Monthly	1/18	0/3	0/1	0/501	0/199	0/1	0/501
AssociationFeeIncludes	array	5	1202	["Insurance","Maintenance Structure","Maintenance Grounds","Maintenance Repairs","Sewer","	2/18	0/3	0/1	0/501	0/199	0/1	3/501
AssociationName	string	472	1202	Jerilyn Smith	2/18	0/3	0/1	27/501	1/199	0/1	442/501
AssociationName2	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
AssociationPhone	string	144	1202	813-522-6346	2/18	0/3	0/1	18/501	1/199	0/1	123/501
AssociationPhone2	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
AssociationYN	boolean	451	1202	true	3/18	0/3	0/1	1/501	0/199	0/1	447/501
AttachedGarageYN	boolean	272	1202	false	1/18	0/3	0/1	1/501	0/199	0/1	270/501
AvailabilityDate	string	503	1202	2019-03-01	0/18	0/3	0/1	2/501	0/199	0/1	501/501
Basement	array	10	1202	["Other"]	0/18	0/3	0/1	10/501	0/199	0/1	0/501
BathroomsFull	integer	505	1202	1	3/18	0/3	0/1	1/501	0/199	0/1	501/501
BathroomsHalf	integer	487	1202	0	3/18	0/3	0/1	1/501	0/199	0/1	483/501
BathroomsOneQuarter	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
BathroomsPartial	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
BathroomsThreeQuarter	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
BathroomsTotalDecimal	integer	505	1202	1	3/18	0/3	0/1	1/501	0/199	0/1	501/501
BathroomsTotalInteger	integer	1201	1202	1	3/18	0/3	0/1	499/501	198/199	0/1	501/501
BedroomsTotal	integer	505	1202	1	3/18	0/3	0/1	1/501	0/199	0/1	501/501
BodyType	array	6	1202	["Double Wide"]	0/18	0/3	0/1	0/501	0/199	0/1	6/501
BridgeModificationTimestamp	string	1202	1202	2026-07-29T18:18:04.958Z	3/18	0/3	0/1	500/501	198/199	0/1	501/501
BuilderModel	string	8	1202	Carolina	0/18	0/3	0/1	0/501	0/199	0/1	8/501
BuilderName	string	9	1202	Lennar	0/18	0/3	0/1	0/501	0/199	0/1	9/501
BuildingAreaSource	string	986	1202	Public Records	3/18	0/3	0/1	496/501	91/199	0/1	396/501
BuildingAreaTotal	integer	1007	1202	480	3/18	0/3	0/1	500/501	90/199	0/1	414/501
BuildingAreaUnits	string	1199	1202	Square Feet	3/18	0/3	0/1	500/501	198/199	0/1	498/501
BuildingFeatures	array	196	1202	["Bathrooms","Common Lighting","Dumpsters"]	0/18	0/3	0/1	162/501	34/199	0/1	0/501
BusinessName	string	199	1202	NA	0/18	0/3	0/1	1/501	198/199	0/1	0/501
BusinessType	array	211	1202	["Other"]	0/18	0/3	0/1	13/501	198/199	0/1	0/501
BuyerAgentAOR	string	3	1202	New Smyrna Beach Board of Realtors	0/18	0/3	0/1	0/501	0/199	0/1	3/501
BuyerAgentFirstName	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
BuyerAgentFullName	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
BuyerAgentKeyNumeric	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
BuyerAgentLastName	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
BuyerAgentMlsId	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
BuyerAgentStateLicense	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
BuyerOfficeKeyNumeric	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
BuyerOfficeMlsId	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
BuyerOfficeName	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
BuyerTeamName	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
CapRate	double	13	1203	5.55	0/18	0/3	1/1	8/501	4/199	0/1	0/501
CarportSpaces	integer	191	1202	1	0/18	0/3	0/1	0/501	0/199	0/1	191/501
CarportYN	boolean	491	1202	false	3/18	0/3	0/1	1/501	0/199	0/1	487/501
City	string	1196	1202	CLEARWATER	3/18	0/3	0/1	500/501	192/199	0/1	501/501
CloseDate	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
ClosePrice	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
CoBuyerAgentFirstName	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
CoBuyerAgentFullName	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
CoBuyerAgentKeyNumeric	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
CoBuyerAgentLastName	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
CoBuyerAgentMlsId	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
CoBuyerAgentStateLicense	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
CoBuyerOfficeKeyNumeric	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
CoBuyerOfficeMlsId	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
CoBuyerOfficeName	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
CoListAgentFirstName	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
CoListAgentFullName	string	143	1202	Cindy Costa	0/18	0/3	0/1	89/501	29/199	0/1	25/501
CoListAgentKeyNumeric	integer	143	1202	579242290	0/18	0/3	0/1	89/501	29/199	0/1	25/501
CoListAgentLastName	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
CoListAgentMlsId	string	143	1202	256501019	0/18	0/3	0/1	89/501	29/199	0/1	25/501
CoListAgentStateLicense	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
CoListOfficeKeyNumeric	integer	143	1202	579203010	0/18	0/3	0/1	89/501	29/199	0/1	25/501
CoListOfficeMlsId	string	143	1202	256500277	0/18	0/3	0/1	89/501	29/199	0/1	25/501
CoListOfficeName	string	144	1202	REALTY CENTRAL, INC.	0/18	0/3	0/1	89/501	29/199	0/1	26/501
CommonWalls	array	39	1202	["End Unit"]	0/18	0/3	0/1	0/501	0/199	0/1	39/501
CommunityFeatures	array	391	1202	["None"]	2/18	0/3	0/1	32/501	6/199	0/1	351/501
Concessions	string	20	1202	No	0/18	0/3	0/1	3/501	0/199	0/1	17/501
ConcessionsAmount	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
ConstructionMaterials	array	569	1202	["Block","Stucco"]	3/18	0/3	0/1	498/501	65/199	0/1	3/501
ContractStatusChangeDate	string	1202	1202	2026-07-13	3/18	0/3	0/1	500/501	198/199	0/1	501/501
Cooling	array	1093	1202	["Mini-Split Unit(s)"]	3/18	0/3	0/1	498/501	93/199	0/1	499/501
CoolingYN	boolean	1093	1202	true	3/18	0/3	0/1	498/501	93/199	0/1	499/501
Coordinates	array	1192	1202	[-82.717138,27.918374]	3/18	0/3	0/1	497/501	191/199	0/1	501/501
CopyrightNotice	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
Country	string	1202	1202	US	3/18	0/3	0/1	500/501	198/199	0/1	501/501
CountyOrParish	string	1191	1202	Pinellas	3/18	0/3	0/1	500/501	187/199	0/1	501/501
CoveredSpaces	integer	334	1202	2	1/18	0/3	0/1	0/501	0/199	0/1	333/501
CrossStreet	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
CumulativeDaysOnMarket	integer	1202	1202	16	3/18	0/3	0/1	500/501	198/199	0/1	501/501
CurrentUse	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
DOH1	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
DOH2	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
DOH3	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
DaysOnMarket	integer	1202	1202	16	3/18	0/3	0/1	500/501	198/199	0/1	501/501
DirectionFaces	string	193	1202	North	3/18	0/3	0/1	122/501	31/199	0/1	37/501
Directions	string	1137	1202	Travel east on East Bay Drive. Just past US Hwy 19 and turn left at Bradford St. Turn left	3/18	0/3	0/1	500/501	133/199	0/1	501/501
Disclosures	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
DocumentsCount	integer	1202	1202	0	3/18	0/3	0/1	500/501	198/199	0/1	501/501
DoorFeatures	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
Electric	array	70	1202	["100 Amp Service"]	0/18	0/3	0/1	56/501	13/199	0/1	1/501
ElementarySchool	string	69	1202	East Elementary	1/18	0/3	0/1	0/501	0/199	0/1	68/501
Exclusions	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
ExteriorFeatures	array	135	1202	["Sidewalk"]	3/18	0/3	0/1	1/501	0/199	0/1	131/501
FeedTypes	array	1202	1202	["IDX"]	3/18	0/3	0/1	500/501	198/199	0/1	501/501
Fencing	array	15	1202	["Fenced"]	0/18	0/3	0/1	0/501	0/199	0/1	15/501
FireplaceFeatures	array	9	1202	["Living Room"]	0/18	0/3	0/1	0/501	0/199	0/1	9/501
FireplaceYN	boolean	122	1202	false	3/18	0/3	0/1	1/501	0/199	0/1	118/501
FireplacesTotal	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
Flooring	array	351	1202	["Laminate"]	3/18	0/3	0/1	150/501	39/199	0/1	159/501
FoundationDetails	array	557	1202	["Slab"]	3/18	0/3	0/1	492/501	62/199	0/1	0/501
FrontageLength	string	3	1202	Canal: 60	0/18	0/3	0/1	0/501	0/199	0/1	3/501
Furnished	string	504	1202	Unfurnished	2/18	0/3	0/1	1/501	0/199	0/1	501/501
GarageSpaces	integer	257	1202	2	1/18	0/3	0/1	0/501	0/199	0/1	256/501
GarageYN	boolean	498	1202	false	3/18	0/3	0/1	1/501	0/199	0/1	494/501
Gas	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
GreenBuildingVerificationType	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
GreenEnergyEfficient	array	3	1202	["Solar Energy Storage On Site"]	0/18	0/3	0/1	1/501	1/199	0/1	1/501
GreenEnergyGeneration	array	6	1202	["Solar"]	0/18	0/3	0/1	4/501	0/199	0/1	2/501
GreenIndoorAirQuality	array	4	1202	["No Smoking-Interior Buildg"]	0/18	0/3	0/1	2/501	0/199	0/1	2/501
GreenLocation	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
GreenSustainability	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
GreenWaterConservation	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
GrossIncome	integer	22	1202	96000	0/18	0/3	0/1	9/501	13/199	0/1	0/501
GrossScheduledIncome	integer	24	1204	54000	0/18	0/3	1/1	16/501	7/199	0/1	0/501
Heating	array	691	1202	["Central","Other"]	3/18	0/3	0/1	144/501	45/199	0/1	499/501
HeatingYN	boolean	691	1202	true	3/18	0/3	0/1	144/501	45/199	0/1	499/501
HighSchool	string	69	1202	Charlotte High	1/18	0/3	0/1	0/501	0/199	0/1	68/501
HighSchoolDistrict	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
HomeWarrantyYN	boolean	20	1202	false	0/18	0/3	0/1	3/501	0/199	0/1	17/501
HorseAmenities	array	1	1202	["Other","Stable(s)"]	0/18	0/3	0/1	0/501	0/199	0/1	1/501
IDXParticipationYN	boolean	1202	1202	true	3/18	0/3	0/1	500/501	198/199	0/1	501/501
InteriorFeatures	array	467	1202	["Cathedral Ceiling(s)","Open Floorplan","PrimaryBedroom Upstairs","Vaulted Ceiling(s)"]	3/18	0/3	0/1	0/501	0/199	0/1	464/501
InternetAddressDisplayYN	boolean	1202	1202	true	3/18	0/3	0/1	500/501	198/199	0/1	501/501
InternetAutomatedValuationDisplayYN	boolean	1200	1202	true	3/18	0/3	0/1	498/501	198/199	0/1	501/501
InternetConsumerCommentYN	boolean	1201	1202	false	3/18	0/3	0/1	499/501	198/199	0/1	501/501
InternetEntireListingDisplayYN	boolean	1202	1202	true	3/18	0/3	0/1	500/501	198/199	0/1	501/501
LandLeaseAmount	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
LandLeaseYN	boolean	3	1202	false	3/18	0/3	0/1	0/501	0/199	0/1	0/501
Latitude	double	1192	1202	27.918374	3/18	0/3	0/1	497/501	191/199	0/1	501/501
LaundryFeatures	array	364	1202	["Laundry Closet"]	3/18	0/3	0/1	0/501	0/199	0/1	361/501
LeaseAmountFrequency	string	500	1202	Monthly	0/18	0/3	0/1	0/501	0/199	0/1	500/501
LeaseConsideredYN	boolean	3	1202	true	3/18	0/3	0/1	0/501	0/199	0/1	0/501
LeaseTerm	string	216	1205	24 Months	0/18	3/3	0/1	4/501	0/199	0/1	209/501
Levels	array	673	1202	["Two"]	3/18	0/3	0/1	123/501	53/199	0/1	494/501
License1	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
License2	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
License3	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
ListAOR	string	1202	1202	Suncoast Tampa	3/18	0/3	0/1	500/501	198/199	0/1	501/501
ListAgentAOR	string	1202	1202	Suncoast Tampa	3/18	0/3	0/1	500/501	198/199	0/1	501/501
ListAgentEmail	string	1202	1202	Abigail@RealEstateMatchmakerClub.com	3/18	0/3	0/1	500/501	198/199	0/1	501/501
ListAgentFirstName	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
ListAgentFullName	string	1202	1202	Abigail Sweeney	3/18	0/3	0/1	500/501	198/199	0/1	501/501
ListAgentKey	string	1202	1202	15c8b5f049e923c990a16e7d51222739	3/18	0/3	0/1	500/501	198/199	0/1	501/501
ListAgentLastName	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
ListAgentMlsId	string	1202	1202	260036749	3/18	0/3	0/1	500/501	198/199	0/1	501/501
ListAgentPreferredPhone	string	1198	1202	727-776-2013	3/18	0/3	0/1	497/501	197/199	0/1	501/501
ListAgentStateLicense	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
ListOfficeKey	string	1202	1202	d853820ecd03b7d8317758bcc438f0c6	3/18	0/3	0/1	500/501	198/199	0/1	501/501
ListOfficeMlsId	string	1202	1202	260033704	3/18	0/3	0/1	500/501	198/199	0/1	501/501
ListOfficeName	string	1202	1202	REAL ESTATE MATCHMAKER CLUB	3/18	0/3	0/1	500/501	198/199	0/1	501/501
ListOfficePhone	string	1202	1202	727-776-2013	3/18	0/3	0/1	500/501	198/199	0/1	501/501
ListPrice	integer	1202	1202	100000	3/18	0/3	0/1	500/501	198/199	0/1	501/501
ListTeamName	string	15	1202	The No BS Group	0/18	0/3	0/1	8/501	1/199	0/1	6/501
ListingContractDate	string	1202	1202	2026-07-13	3/18	0/3	0/1	500/501	198/199	0/1	501/501
ListingId	string	1202	1202	TB8528949	3/18	0/3	0/1	500/501	198/199	0/1	501/501
ListingKey	string	1224	1224	e8ea2e5193b25dbab98d77f1e11e070d	18/18	3/3	1/1	501/501	199/199	1/1	501/501
ListingKeyNumeric	integer	1202	1202	799934446	3/18	0/3	0/1	500/501	198/199	0/1	501/501
ListingTerms	array	359	1202	["Cash","Conventional"]	1/18	0/3	0/1	256/501	99/199	0/1	3/501
LivingArea	integer	970	1202	480	3/18	0/3	0/1	369/501	97/199	0/1	501/501
LivingAreaSource	string	509	1202	Public Records	3/18	0/3	0/1	248/501	73/199	0/1	185/501
LivingAreaUnits	string	1200	1202	Square Feet	3/18	0/3	0/1	500/501	198/199	0/1	499/501
LockBoxLocation	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
LockBoxSerialNumber	string	2	1202	02395278	0/18	0/3	0/1	1/501	0/199	0/1	1/501
LockBoxType	array	2	1202	["SentriLock"]	0/18	0/3	0/1	1/501	0/199	0/1	1/501
Longitude	double	1192	1202	-82.717138	3/18	0/3	0/1	497/501	191/199	0/1	501/501
LotFeatures	array	261	1202	["Central Business District"]	0/18	0/3	0/1	152/501	34/199	0/1	75/501
LotSizeAcres	double	1061	1202	0.8	2/18	0/3	0/1	500/501	78/199	0/1	481/501
LotSizeArea	integer	982	1202	34791	1/18	0/3	0/1	495/501	80/199	0/1	406/501
LotSizeDimensions	string	217	1202	146 x 299	0/18	0/3	0/1	149/501	18/199	0/1	50/501
LotSizeSquareFeet	integer	1064	1202	34791	2/18	0/3	0/1	500/501	81/199	0/1	481/501
LotSizeUnits	string	982	1202	Square Feet	1/18	0/3	0/1	495/501	80/199	0/1	406/501
MLSAreaMajor	string	1202	1202	33760 - Clearwater	3/18	0/3	0/1	500/501	198/199	0/1	501/501
Make	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
MaloneId	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
Media	array	1202	1202	[{"MediaKey":"e8ea2e5193b25dbab98d77f1e11e070d-m1","MediaCategory":"Photo","MediaURL":"htt	3/18	0/3	0/1	500/501	198/199	0/1	501/501
MiddleOrJuniorSchool	string	68	1202	Punta Gorda Middle	1/18	0/3	0/1	0/501	0/199	0/1	67/501
MlsStatus	string	1202	1202	Active	3/18	0/3	0/1	500/501	198/199	0/1	501/501
MobileLength	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
MobileWidth	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
Model	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
ModificationTimestamp	string	1202	1202	2026-07-29T18:13:48.823Z	3/18	0/3	0/1	500/501	198/199	0/1	501/501
NetOperatingIncome	integer	1	1	38000	0/18	0/3	1/1	0/501	0/199	0/1	0/501
NewConstructionYN	boolean	1090	1202	false	3/18	0/3	0/1	499/501	91/199	0/1	497/501
NumberOfBuildings	integer	548	1202	2	0/18	0/3	0/1	499/501	49/199	0/1	0/501
NumberOfLots	integer	126	1202	2	0/18	0/3	0/1	113/501	13/199	0/1	0/501
NumberOfPads	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
NumberOfSeparateElectricMeters	integer	57	1202	1	0/18	0/3	0/1	57/501	0/199	0/1	0/501
NumberOfSeparateGasMeters	integer	11	1202	1	0/18	0/3	0/1	11/501	0/199	0/1	0/501
NumberOfSeparateWaterMeters	integer	44	1202	1	0/18	0/3	0/1	44/501	0/199	0/1	0/501
NumberOfUnitsLeased	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
NumberOfUnitsTotal	integer	80	1202	30	0/18	0/3	0/1	72/501	8/199	0/1	0/501
OccupantType	string	631	1202	Tenant	3/18	0/3	0/1	144/501	37/199	0/1	447/501
OffMarketDate	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
OffMarketTimestamp	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
OnMarketDate	string	1134	1202	2026-07-13	3/18	0/3	0/1	491/501	196/199	0/1	444/501
OpenParkingSpaces	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
OpenParkingYN	boolean	45	1202	true	0/18	0/3	0/1	0/501	0/199	0/1	45/501
OriginalEntryTimestamp	string	1202	1202	2026-07-14T02:07:24.770Z	3/18	0/3	0/1	500/501	198/199	0/1	501/501
OriginalListPrice	integer	1202	1202	100000	3/18	0/3	0/1	500/501	198/199	0/1	501/501
OriginatingSystemKey	string	1202	1202	stellar	3/18	0/3	0/1	500/501	198/199	0/1	501/501
OriginatingSystemName	string	1202	1202	Stellar MLS	3/18	0/3	0/1	500/501	198/199	0/1	501/501
OtherParking	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
OtherStructures	array	100	1202	["Garage(s)"]	0/18	0/3	0/1	60/501	12/199	0/1	28/501
OwnerPays	array	500	1202	["Cable TV","Electricity","Internet","Laundry","Sewer","Trash Collection","Water"]	0/18	0/3	0/1	0/501	0/199	0/1	500/501
Ownership	string	699	1202	Fee Simple	3/18	0/3	0/1	498/501	198/199	0/1	0/501
ParcelNumber	string	1089	1202	322916106750020308	3/18	0/3	0/1	500/501	85/199	0/1	501/501
ParkName	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
ParkingFeatures	array	288	1202	["6 to 12 Spaces"]	0/18	0/3	0/1	136/501	33/199	0/1	119/501
PatioAndPorchFeatures	array	140	1202	["Covered","Patio","Rear Porch","Screened"]	0/18	0/3	0/1	0/501	0/199	0/1	140/501
PetsAllowed	array	528	1202	["Cats OK","Dogs OK","Size Limit","Yes"]	2/18	0/3	0/1	20/501	7/199	0/1	499/501
PhotosChangeTimestamp	string	1202	1202	2026-07-14T02:11:03.496Z	3/18	0/3	0/1	500/501	198/199	0/1	501/501
PhotosCount	integer	1202	1202	13	3/18	0/3	0/1	500/501	198/199	0/1	501/501
PoolFeatures	array	205	1202	["In Ground"]	0/18	0/3	0/1	0/501	0/199	0/1	205/501
PoolPrivateYN	boolean	501	1202	false	3/18	0/3	0/1	0/501	0/199	0/1	498/501
Possession	array	203	1202	["Close Of Escrow"]	0/18	0/3	0/1	113/501	46/199	0/1	44/501
PossibleUse	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
PostalCode	string	1198	1202	33760	3/18	0/3	0/1	500/501	194/199	0/1	501/501
PostalCodePlus4	string	741	1202	1909	2/18	0/3	0/1	318/501	49/199	0/1	372/501
PreviousListPrice	integer	418	1202	675000	0/18	0/3	0/1	179/501	72/199	0/1	167/501
PriceChangeTimestamp	string	449	1202	2024-12-08T14:45:14.123Z	0/18	0/3	0/1	194/501	74/199	0/1	181/501
